id,city_id/id,code,name
dym_address.kec_id_110101,dym_address.kab_id_1101,110101,SIMEULUE TENGAH
dym_address.kec_id_110102,dym_address.kab_id_1101,110102,SALANG
dym_address.kec_id_110103,dym_address.kab_id_1101,110103,TEUPAH BARAT
dym_address.kec_id_110104,dym_address.kab_id_1101,110104,SIMEULUE TIMUR
dym_address.kec_id_110105,dym_address.kab_id_1101,110105,TELUK DALAM
dym_address.kec_id_110106,dym_address.kab_id_1101,110106,SIMEULUE BARAT
dym_address.kec_id_110107,dym_address.kab_id_1101,110107,TEUPAH SELATAN
dym_address.kec_id_110108,dym_address.kab_id_1101,110108,ALAPAN
dym_address.kec_id_110109,dym_address.kab_id_1101,110109,TEUPAH TENGAH
dym_address.kec_id_110110,dym_address.kab_id_1101,110110,SIMEULUE CUT
dym_address.kec_id_110201,dym_address.kab_id_1102,110201,PULAU BANYAK
dym_address.kec_id_110202,dym_address.kab_id_1102,110202,SIMPANG KANAN
dym_address.kec_id_110203,dym_address.kab_id_1102,110203,SINGKIL
dym_address.kec_id_110204,dym_address.kab_id_1102,110204,GUNUNG MERIAH
dym_address.kec_id_110205,dym_address.kab_id_1102,110205,KOTA BAHARU
dym_address.kec_id_110206,dym_address.kab_id_1102,110206,SINGKIL UTARA
dym_address.kec_id_110207,dym_address.kab_id_1102,110207,DANAU PARIS
dym_address.kec_id_110208,dym_address.kab_id_1102,110208,SURO MAKMUR
dym_address.kec_id_110209,dym_address.kab_id_1102,110209,SINGKOHOR
dym_address.kec_id_110210,dym_address.kab_id_1102,110210,KUALA BARU
dym_address.kec_id_110211,dym_address.kab_id_1102,110211,PULAU BANYAK BARAT
dym_address.kec_id_110301,dym_address.kab_id_1103,110301,BAKONGAN
dym_address.kec_id_110302,dym_address.kab_id_1103,110302,KLUET UTARA
dym_address.kec_id_110303,dym_address.kab_id_1103,110303,KLUET SELATAN
dym_address.kec_id_110304,dym_address.kab_id_1103,110304,LABUHAN HAJI
dym_address.kec_id_110305,dym_address.kab_id_1103,110305,MEUKEK
dym_address.kec_id_110306,dym_address.kab_id_1103,110306,SAMADUA
dym_address.kec_id_110307,dym_address.kab_id_1103,110307,SAWANG
dym_address.kec_id_110308,dym_address.kab_id_1103,110308,TAPAKTUAN
dym_address.kec_id_110309,dym_address.kab_id_1103,110309,TRUMON
dym_address.kec_id_110310,dym_address.kab_id_1103,110310,PASI RAJA
dym_address.kec_id_110311,dym_address.kab_id_1103,110311,LABUHAN HAJI TIMUR
dym_address.kec_id_110312,dym_address.kab_id_1103,110312,LABUHAN HAJI BARAT
dym_address.kec_id_110313,dym_address.kab_id_1103,110313,KLUET TENGAH
dym_address.kec_id_110314,dym_address.kab_id_1103,110314,KLUET TIMUR
dym_address.kec_id_110315,dym_address.kab_id_1103,110315,BAKONGAN TIMUR
dym_address.kec_id_110316,dym_address.kab_id_1103,110316,TRUMON TIMUR
dym_address.kec_id_110317,dym_address.kab_id_1103,110317,KOTA BAHAGIA
dym_address.kec_id_110318,dym_address.kab_id_1103,110318,TRUMON TENGAH
dym_address.kec_id_110401,dym_address.kab_id_1104,110401,LAWE ALAS
dym_address.kec_id_110402,dym_address.kab_id_1104,110402,LAWE SIGALA-GALA
dym_address.kec_id_110403,dym_address.kab_id_1104,110403,BAMBEL
dym_address.kec_id_110404,dym_address.kab_id_1104,110404,BABUSSALAM
dym_address.kec_id_110405,dym_address.kab_id_1104,110405,BADAR
dym_address.kec_id_110406,dym_address.kab_id_1104,110406,BABUL MAKMUR
dym_address.kec_id_110407,dym_address.kab_id_1104,110407,DARUL HASANAH
dym_address.kec_id_110408,dym_address.kab_id_1104,110408,LAWE BULAN
dym_address.kec_id_110409,dym_address.kab_id_1104,110409,BUKIT TUSAM
dym_address.kec_id_110410,dym_address.kab_id_1104,110410,SEMADAM
dym_address.kec_id_110411,dym_address.kab_id_1104,110411,BABUL RAHMAH
dym_address.kec_id_110412,dym_address.kab_id_1104,110412,KETAMBE
dym_address.kec_id_110413,dym_address.kab_id_1104,110413,DELENG POKHKISEN
dym_address.kec_id_110414,dym_address.kab_id_1104,110414,LAWE SUMUR
dym_address.kec_id_110415,dym_address.kab_id_1104,110415,TANOH ALAS
dym_address.kec_id_110416,dym_address.kab_id_1104,110416,LEUSER
dym_address.kec_id_110501,dym_address.kab_id_1105,110501,DARUL AMAN
dym_address.kec_id_110502,dym_address.kab_id_1105,110502,JULOK
dym_address.kec_id_110503,dym_address.kab_id_1105,110503,IDI RAYEUK
dym_address.kec_id_110504,dym_address.kab_id_1105,110504,BIREM BAYEUN
dym_address.kec_id_110505,dym_address.kab_id_1105,110505,SERBAJADI
dym_address.kec_id_110506,dym_address.kab_id_1105,110506,NURUSSALAM
dym_address.kec_id_110507,dym_address.kab_id_1105,110507,PEUREULAK
dym_address.kec_id_110508,dym_address.kab_id_1105,110508,RANTAU SELAMAT
dym_address.kec_id_110509,dym_address.kab_id_1105,110509,SIMPANG ULIM
dym_address.kec_id_110510,dym_address.kab_id_1105,110510,RANTAU PEUREULAK
dym_address.kec_id_110511,dym_address.kab_id_1105,110511,PANTE BIDARI
dym_address.kec_id_110512,dym_address.kab_id_1105,110512,MADAT
dym_address.kec_id_110513,dym_address.kab_id_1105,110513,INDRA MAKMU
dym_address.kec_id_110514,dym_address.kab_id_1105,110514,IDI TUNONG
dym_address.kec_id_110515,dym_address.kab_id_1105,110515,BANDA ALAM
dym_address.kec_id_110516,dym_address.kab_id_1105,110516,PEUDAWA
dym_address.kec_id_110517,dym_address.kab_id_1105,110517,PEUREULAK TIMUR
dym_address.kec_id_110518,dym_address.kab_id_1105,110518,PEUREULAK BARAT
dym_address.kec_id_110519,dym_address.kab_id_1105,110519,SUNGAI RAYA
dym_address.kec_id_110520,dym_address.kab_id_1105,110520,SIMPANG JERNIH
dym_address.kec_id_110521,dym_address.kab_id_1105,110521,DARUL IHSAN
dym_address.kec_id_110522,dym_address.kab_id_1105,110522,DARUL FALAH
dym_address.kec_id_110523,dym_address.kab_id_1105,110523,IDI TIMUR
dym_address.kec_id_110524,dym_address.kab_id_1105,110524,PEUNARON
dym_address.kec_id_110601,dym_address.kab_id_1106,110601,LINGE
dym_address.kec_id_110602,dym_address.kab_id_1106,110602,SILIH NARA
dym_address.kec_id_110603,dym_address.kab_id_1106,110603,BEBESEN
dym_address.kec_id_110604,dym_address.kab_id_1106,110604,PEGASING
dym_address.kec_id_110605,dym_address.kab_id_1106,110605,BINTANG
dym_address.kec_id_110606,dym_address.kab_id_1106,110606,KETOL
dym_address.kec_id_110607,dym_address.kab_id_1106,110607,KEBAYAKAN
dym_address.kec_id_110608,dym_address.kab_id_1106,110608,KUTE PANANG
dym_address.kec_id_110609,dym_address.kab_id_1106,110609,CELALA
dym_address.kec_id_110610,dym_address.kab_id_1106,110610,LAUT TAWAR
dym_address.kec_id_110611,dym_address.kab_id_1106,110611,ATU LINTANG
dym_address.kec_id_110612,dym_address.kab_id_1106,110612,JAGONG JEGET
dym_address.kec_id_110613,dym_address.kab_id_1106,110613,BIES
dym_address.kec_id_110614,dym_address.kab_id_1106,110614,RUSIP ANTARA
dym_address.kec_id_110701,dym_address.kab_id_1107,110701,JOHAN PAHWALAN
dym_address.kec_id_110702,dym_address.kab_id_1107,110702,KAWAY XVI
dym_address.kec_id_110703,dym_address.kab_id_1107,110703,SUNGAI MAS
dym_address.kec_id_110704,dym_address.kab_id_1107,110704,WOYLA
dym_address.kec_id_110705,dym_address.kab_id_1107,110705,SAMATIGA
dym_address.kec_id_110706,dym_address.kab_id_1107,110706,BUBON
dym_address.kec_id_110707,dym_address.kab_id_1107,110707,ARONGAN LAMBALEK
dym_address.kec_id_110708,dym_address.kab_id_1107,110708,PANTE CEUREUMEN
dym_address.kec_id_110709,dym_address.kab_id_1107,110709,MEUREUBO
dym_address.kec_id_110710,dym_address.kab_id_1107,110710,WOYLA BARAT
dym_address.kec_id_110711,dym_address.kab_id_1107,110711,WOYLA TIMUR
dym_address.kec_id_110712,dym_address.kab_id_1107,110712,PANTON REU
dym_address.kec_id_110801,dym_address.kab_id_1108,110801,LHOONG
dym_address.kec_id_110802,dym_address.kab_id_1108,110802,LHOKNGA
dym_address.kec_id_110803,dym_address.kab_id_1108,110803,INDRAPURI
dym_address.kec_id_110804,dym_address.kab_id_1108,110804,SEULIMEUM
dym_address.kec_id_110805,dym_address.kab_id_1108,110805,MONTASIK
dym_address.kec_id_110806,dym_address.kab_id_1108,110806,SUKAMAKMUR
dym_address.kec_id_110807,dym_address.kab_id_1108,110807,DARUL IMARAH
dym_address.kec_id_110808,dym_address.kab_id_1108,110808,PEUKAN BADA
dym_address.kec_id_110809,dym_address.kab_id_1108,110809,MESJID RAYA
dym_address.kec_id_110810,dym_address.kab_id_1108,110810,INGIN JAYA
dym_address.kec_id_110811,dym_address.kab_id_1108,110811,KUTA BARO
dym_address.kec_id_110812,dym_address.kab_id_1108,110812,DARUSSALAM
dym_address.kec_id_110813,dym_address.kab_id_1108,110813,PULO ACEH
dym_address.kec_id_110814,dym_address.kab_id_1108,110814,LEMBAH SEULAWAH
dym_address.kec_id_110815,dym_address.kab_id_1108,110815,KOTA JANTHO
dym_address.kec_id_110816,dym_address.kab_id_1108,110816,KOTA COT GLIE
dym_address.kec_id_110817,dym_address.kab_id_1108,110817,KUTA MALAKA
dym_address.kec_id_110818,dym_address.kab_id_1108,110818,SIMPANG TIGA
dym_address.kec_id_110819,dym_address.kab_id_1108,110819,DARUL KAMAL
dym_address.kec_id_110820,dym_address.kab_id_1108,110820,BAITUSSALAM
