id,branch_id:id,code,type,name,default_debit_account_id:id,default_credit_account_id:id,user_id:id,sequence_id:id
journal_wo_reg_branch_dsr,dym_branch.branch_dsr,WKDSR,sale,Journal WO Reguler DSR,,,,
journal_wo_reg_branch_djj,dym_branch.branch_djj,WKDJJ,sale,Journal WO Reguler DJJ,,,,
journal_wo_reg_branch_djb,dym_branch.branch_djb,WKDJB,sale,Journal WO Reguler DJB,,,,
journal_wo_reg_branch_djs,dym_branch.branch_djs,WKDJS,sale,Journal WO Reguler DJS,,,,
journal_wo_reg_branch_djm,dym_branch.branch_djm,WKDJM,sale,Journal WO Reguler DJM,,,,
journal_wo_reg_branch_dju,dym_branch.branch_dju,WKDJU,sale,Journal WO Reguler DJU,,,,
journal_wo_reg_branch_dsm,dym_branch.branch_dsm,WKDSM,sale,Journal WO Reguler DSM,,,,
journal_wo_reg_branch_dsg,dym_branch.branch_dsg,WKDSG,sale,Journal WO Reguler DSG,,,,
journal_wo_reg_branch_dsb,dym_branch.branch_dsb,WKDSB,sale,Journal WO Reguler DSB,,,,
journal_wo_reg_branch_dsp,dym_branch.branch_dsp,WKDSP,sale,Journal WO Reguler DSP,,,,
journal_wo_reg_branch_dsk,dym_branch.branch_dsk,WKDSK,sale,Journal WO Reguler DSK,,,,
journal_wo_reg_branch_dup,dym_branch.branch_dup,WKDUP,sale,Journal WO Reguler DUP,,,,
journal_wo_reg_branch_duk,dym_branch.branch_duk,WKDUK,sale,Journal WO Reguler DUK,,,,
journal_wo_reg_branch_dle,dym_branch.branch_dle,WKDLE,sale,Journal WO Reguler DLE,,,,
journal_wo_reg_branch_dlp,dym_branch.branch_dlp,WKDLP,sale,Journal WO Reguler DLP,,,,
journal_wo_reg_branch_dlm,dym_branch.branch_dlm,WKDLM,sale,Journal WO Reguler DLM,,,,
journal_wo_reg_branch_dlh,dym_branch.branch_dlh,WKDLH,sale,Journal WO Reguler DLH,,,,
journal_wo_reg_branch_dlx,dym_branch.branch_dlx,WKDLX,sale,Journal WO Reguler DLX,,,,
journal_wo_reg_branch_dll,dym_branch.branch_dll,WKDLL,sale,Journal WO Reguler DLL,,,,
journal_wo_reg_branch_dld,dym_branch.branch_dld,WKDLD,sale,Journal WO Reguler DLD,,,,
journal_wo_reg_branch_dlf,dym_branch.branch_dlf,WKDLF,sale,Journal WO Reguler DLF,,,,
journal_wo_reg_branch_dlv,dym_branch.branch_dlv,WKDLV,sale,Journal WO Reguler DLV,,,,
journal_wo_reg_branch_dlq,dym_branch.branch_dlq,WKDLQ,sale,Journal WO Reguler DLQ,,,,
journal_wo_reg_branch_dlc,dym_branch.branch_dlc,WKDLC,sale,Journal WO Reguler DLC,,,,
journal_wo_reg_branch_dly,dym_branch.branch_dly,WKDLY,sale,Journal WO Reguler DLY,,,,
journal_wo_reg_branch_dlw,dym_branch.branch_dlw,WKDLW,sale,Journal WO Reguler DLW,,,,
journal_wo_reg_branch_dlu,dym_branch.branch_dlu,WKDLU,sale,Journal WO Reguler DLU,,,,
journal_wo_reg_branch_dlt,dym_branch.branch_dlt,WKDLT,sale,Journal WO Reguler DLT,,,,
journal_wo_reg_branch_dls,dym_branch.branch_dls,WKDLS,sale,Journal WO Reguler DLS,,,,
journal_wo_reg_branch_dlo,dym_branch.branch_dlo,WKDLO,sale,Journal WO Reguler DLO,,,,
journal_wo_reg_branch_dln,dym_branch.branch_dln,WKDLN,sale,Journal WO Reguler DLN,,,,
journal_wo_reg_branch_dlk,dym_branch.branch_dlk,WKDLK,sale,Journal WO Reguler DLK,,,,
journal_wo_reg_branch_dlj,dym_branch.branch_dlj,WKDLJ,sale,Journal WO Reguler DLJ,,,,
